Resource Title,Resource URL,Publisher,Country,,Description,First L2 Tag,Second L2 Tag,Third L2 Tag,Vetter,Reviewed?,L2 Tagger,Technical (Y/N),Notes
COVID-19 Resource Centre,https://www.thelancet.com/coronavirus,The Lancet,General,,"Welcome to the Lancet COVID-19 Resource Centre, bringing together all COVID-
19 research, reviews, commentary, news, and analysis from across the Lancet ...",Databases & Datasets,,,Bot,,LO,,
Efficacy of NVX-CoV2373 Covid-19 Vaccine against the B.1.351 ...,https://www.nejm.org/doi/full/10.1056/NEJMoa2103055,New England Journal of Medicine,General,,"The primary end points were safety and vaccine efficacy against laboratory-
confirmed symptomatic Covid-19 at 7 days or more after the second dose among
 ...",Vaccine,Healthcare,,Bot,,LO,,
Effectiveness of the BNT162b2 Covid-19 Vaccine against the B.1.1.7 ...,https://www.nejm.org/doi/10.1056/NEJMc2104974,New England Journal of Medicine,General,,"The messenger RNA vaccine BNT162b2 (Pfizer–BioNTech) has 95% efficacy 
against coronavirus disease 2019 (Covid-19). Qatar launched a mass 
immunization ...",Vaccine,Healthcare,,Bot,,LO,,
Updated May 2021 - Coronavirus (COVID-19) Resource Center ...,https://jamanetwork.com/journals/jama/pages/coronavirus-alert,JAMA,US,2021-01-01,"Check back regularly for updates on the 2019 Novel Coronavirus (COVID-19) 
pandemic, including clinical information, an outbreak map, and CDC/WHO ...",Databases & Datasets,,,Bot,,LO,,
"In shock move, US backs waiving patents on COVID vaccines",http://www.scientificamerican.com/article/in-shocking-move-u-s-backs-waiving-patents-on-covid-vaccines/,Scientific American,US,"5/5/2021, 5:00:00 PM","In a historic move, the US government has announced that it supports waiving 
patent protections for COVID-19 vaccines, a measure aimed at boosting supplies 
so ...",Vaccine,International Vaccine Distribution,International Relations,Bot,,LO,,
The New England Journal of Medicine: Research & Review Articles ...,https://www.nejm.org/,New England Journal of Medicine,General,,"To date, relatively few Americans have received Covid vaccinations ...",,,,Bot,,LO,,Mismatch in description and title/link
India's COVID-19 emergency - The Lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01052-7/fulltext,The Lancet,General,,"Yet before the second wave of cases of COVID-19 began to mount in early March
, Indian Minister of Health Harsh Vardhan declared that India was in the “ ...",Herd Immunity,International Relations,,Bot,,LO,,
Impact and effectiveness of mRNA BNT162b2 vaccine against ...,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00947-8/fulltext,The Lancet,General,"5/5/2021, 12:00:00 AM","Following the emergency use authorisation of the Pfizer–BioNTech mRNA 
COVID-19 vaccine BNT162b2 (international non-proprietary name tozinameran) 
in ...",Vaccine,Emergency Powers,International Vaccine Distribution,Bot,,LO,,
The COVID-19 puzzle: deciphering pathophysiology and ...,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(21)00218-6/fulltext,The Lancet,General,"5/6/2021, 12:00:00 AM","Severe COVID-19 most commonly involves respiratory manifestations, although 
other systems are also affected, and acute disease is often followed by protracted
 ...",Epidemiology,Symptoms,Medical Research,Bot,,LO,,
SARS-CoV-2 Infection after Vaccination in Health Care Workers in ...,https://www.nejm.org/doi/full/10.1056/NEJMc2101927,New England Journal of Medicine,General,"3/22/2021, 5:00:00 PM","Results 1 - 7 ... Since the results of these trials were published, a nationwide surge in 
coronavirus disease 2019 (Covid-19) has been noted, SARS-CoV-2 variants ...",SARS-CoV-2 Variants,Vaccine,Vaccine,Bot,,LO,,
