Source,Name,Country
www.thelancet.com,The Lancet,General
www.nejm.org,New England Journal of Medicine,General
jamanetwork.com,JAMA,US
www.scientificamerican.com,Scientific American,US
www.cdc.gov,CDC,US
www.nature.com,Nature,General
www.sciencemag.com,Science,General
www.pfizer.com,Pfizer,General
modernatx.com,Moderna,General
yourlocalepidemiologist.substack.com,Your local epidemiologist,US
jnj.com,Johnson and Johnson,General
astrazeneca.com,Astra Zeneca,General
bmj.com,BMJ,General
www.technologyreview.com,MIT Tech Review,General
globalhealth.stanford.edu,Stanford Global Health,India
https://covidadvisories.iisc.ac.in/,IISC COVID Advisory,India
https://scienceexchange.caltech.edu/topics/covid-19-coronavirus-sars-cov-2,Caltech Science Exchange,General
https://together.caltech.edu/news?tag=emerging%20diseases,Caltech Science Emerging Diseases,General
https://together.caltech.edu/,Caltech Together,General
https://www.hopkinsmedicine.org/news/newsroom/news-releases?page=2,JHU newsroom,General
https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus,JHU Medicine,General
https://www.ucsf.edu/topic/covid-19,UCSF magazine,General
https://www.unbiasedscipod.com/,Unbiased Science Podcast,General
https://www.hoodmedicine.org/covid-19-info-center/,Hood Medicine COVID-19 Resources,US
https://research.princeton.edu/research-administration/covid-19-information-researchers/covid-19-research-news,Princeton COVID-19 information,General
https://theconversation.com/us/covid-19,The Conversation,General
https://dearpandemic.org/posts/,Dear Pandemic,General
https://www.kyoto-u.ac.jp/en/research-news?page=0,Kyoto University,Asia
https://www.nature.com/nm/,Nature Medicine,General
https://jamanetwork.com/collections/5702/infectious-diseases,JAMA Infectious Disease,General
https://www.ucsusa.org/resources,Union of Concerned Scientists,General
https://firstdraftnews.org/,First Draft,General
https://www.who.int/southeastasia,WHO SEARO,"Asia, General"
